Index	edge	1	2	3	4	5	6	7	8	9	finesse_moy	finesse_max	Area	Reward
12	1.664e-02	3.110e-03	6.745e-02	9.822e-02	1.500e-01	-5.367e-02	-5.199e-02	-1.172e-02	7.475e-01	2.615e-01	3.621e-02	3.923e-02	1.583e-03	3.623e-02
13	1.279e-02	1.010e-02	6.726e-02	9.306e-02	1.335e-01	-3.819e-02	-4.679e-02	-1.452e-03	7.689e-01	2.808e-01	4.396e-02	4.645e-02	1.436e-03	4.006e-02
13	1.483e-02	2.783e-03	8.052e-02	9.712e-02	1.500e-01	-5.158e-02	-1.247e-02	-9.093e-03	7.481e-01	3.000e-01	4.135e-02	4.451e-02	1.440e-03	3.832e-02
13	1.628e-02	1.832e-03	8.676e-02	9.532e-02	1.177e-01	-5.636e-02	-3.253e-02	-9.465e-03	6.523e-01	3.000e-01	3.998e-02	4.321e-02	1.490e-03	4.001e-02
13	1.323e-02	1.138e-02	6.649e-02	9.167e-02	1.331e-01	-4.654e-02	-3.941e-02	-6.361e-03	7.530e-01	3.000e-01	4.487e-02	4.770e-02	1.450e-03	4.378e-02
13	9.681e-03	1.424e-02	6.362e-02	9.141e-02	1.379e-01	-5.726e-02	-7.309e-02	-7.338e-03	7.548e-01	2.855e-01	3.985e-02	4.251e-02	1.646e-03	3.982e-02
13	1.649e-02	0.000e+00	6.558e-02	9.563e-02	1.466e-01	-4.422e-02	-5.460e-02	-1.012e-02	6.691e-01	2.787e-01	3.945e-02	4.275e-02	1.522e-03	3.944e-02
13	1.181e-02	7.198e-03	8.798e-02	9.633e-02	1.369e-01	-5.401e-02	-6.915e-02	-8.858e-03	7.429e-01	3.000e-01	4.149e-02	4.466e-02	1.730e-03	4.149e-02
13	1.883e-02	1.767e-03	8.374e-02	9.327e-02	1.500e-01	-3.553e-02	-3.766e-02	-8.826e-03	7.789e-01	3.000e-01	4.292e-02	4.598e-02	1.521e-03	4.292e-02
14	1.466e-02	8.048e-03	6.887e-02	9.019e-02	1.377e-01	-3.423e-02	-5.792e-02	-2.670e-03	7.580e-01	3.000e-01	4.454e-02	4.736e-02	1.492e-03	4.456e-02
14	1.223e-02	2.825e-02	6.290e-02	9.080e-02	1.222e-01	-4.226e-02	-3.707e-02	-4.950e-03	7.483e-01	3.000e-01	4.669e-02	4.916e-02	1.435e-03	4.271e-02
14	1.504e-02	1.626e-03	8.112e-02	1.000e-01	1.403e-01	-4.467e-02	-3.098e-02	-7.932e-03	7.573e-01	3.000e-01	4.224e-02	4.542e-02	1.491e-03	4.227e-02
14	1.686e-02	0.000e+00	7.825e-02	9.529e-02	1.440e-01	-3.432e-02	-3.096e-02	-9.077e-03	7.642e-01	3.000e-01	4.421e-02	4.727e-02	1.440e-03	4.119e-02
14	1.708e-02	7.615e-03	8.759e-02	1.000e-01	1.499e-01	-4.773e-02	-9.992e-03	-7.743e-03	7.912e-01	3.000e-01	4.237e-02	4.550e-02	1.479e-03	4.238e-02
14	1.665e-02	3.767e-03	6.895e-02	9.369e-02	1.463e-01	-4.291e-02	-3.079e-02	-8.006e-03	7.728e-01	3.000e-01	4.277e-02	4.593e-02	1.435e-03	3.870e-02
14	1.290e-02	7.316e-03	7.463e-02	8.821e-02	1.423e-01	-5.373e-02	-4.906e-02	-6.911e-03	7.565e-01	2.902e-01	4.238e-02	4.513e-02	1.548e-03	4.239e-02
14	1.343e-02	4.872e-03	6.883e-02	8.998e-02	1.482e-01	-4.883e-02	-5.045e-02	-1.168e-02	7.558e-01	3.000e-01	4.201e-02	4.509e-02	1.550e-03	4.199e-02
15	1.477e-02	1.294e-02	6.653e-02	9.125e-02	1.467e-01	-5.557e-02	-3.241e-02	-1.123e-02	7.722e-01	2.885e-01	4.166e-02	4.450e-02	1.502e-03	4.164e-02
15	1.077e-02	2.398e-02	6.828e-02	8.845e-02	1.293e-01	-5.247e-02	-4.660e-02	-4.924e-03	7.471e-01	2.999e-01	4.524e-02	4.776e-02	1.523e-03	4.521e-02
15	1.230e-02	6.661e-03	7.527e-02	9.803e-02	1.327e-01	-5.219e-02	-6.245e-02	-5.162e-03	7.447e-01	2.958e-01	4.164e-02	4.447e-02	1.614e-03	4.160e-02
15	9.386e-03	1.046e-02	6.652e-02	9.135e-02	1.445e-01	-4.489e-02	-7.077e-02	0.000e+00	7.559e-01	3.000e-01	4.272e-02	4.579e-02	1.580e-03	4.282e-02
15	1.343e-02	1.838e-02	7.322e-02	7.721e-02	1.372e-01	-1.841e-02	-5.257e-02	-4.645e-03	7.577e-01	3.000e-01	4.800e-02	5.071e-02	1.433e-03	4.359e-02
15	1.326e-02	1.520e-02	7.747e-02	9.291e-02	1.350e-01	-4.567e-02	-5.544e-02	-3.956e-03	7.571e-01	2.970e-01	4.299e-02	4.615e-02	1.585e-03	4.280e-02
15	1.719e-02	7.570e-03	7.296e-02	8.984e-02	1.469e-01	-4.659e-02	-5.918e-02	-3.032e-03	7.584e-01	2.858e-01	4.144e-02	4.427e-02	1.574e-03	4.142e-02
15	1.373e-02	2.105e-02	6.163e-02	9.118e-02	1.316e-01	-4.576e-02	-5.019e-02	-3.576e-03	7.170e-01	2.907e-01	4.431e-02	4.701e-02	1.489e-03	4.431e-02
16	1.076e-02	2.051e-02	5.520e-02	9.021e-02	1.319e-01	-5.877e-02	-4.095e-02	-5.228e-03	7.301e-01	2.898e-01	4.216e-02	4.465e-02	1.454e-03	4.192e-02
16	1.287e-02	1.693e-02	7.122e-02	9.077e-02	1.213e-01	-5.873e-02	-3.785e-02	-6.549e-03	7.572e-01	2.878e-01	4.290e-02	4.524e-02	1.491e-03	4.291e-02
16	1.161e-02	1.904e-02	6.264e-02	8.897e-02	1.316e-01	-6.201e-02	-4.895e-02	-4.897e-03	6.606e-01	2.888e-01	4.163e-02	4.448e-02	1.518e-03	4.165e-02
16	9.971e-03	3.128e-02	6.466e-02	9.300e-02	1.235e-01	-3.538e-02	-3.024e-02	-8.508e-03	7.280e-01	2.916e-01	4.640e-02	4.896e-02	1.415e-03	3.836e-02
16	5.000e-03	3.353e-02	6.713e-02	8.983e-02	1.157e-01	-5.489e-02	-4.663e-02	-3.249e-03	7.376e-01	3.000e-01	4.417e-02	4.714e-02	1.517e-03	4.425e-02
